"","pval1","pval2","pval3","pval4"
"136",3.58702964492622e-79,1.23247496520707e-107,5.10187442004848e-101,4.23814149443035e-94
"137",1.81478323531552e-79,3.42816194871738e-107,3.80852688064441e-101,2.07871971583543e-94
"138",1.72917319499202e-79,2.44206605514542e-107,6.7844516169012e-101,2.42848575781869e-94
"139",9.9622492837065e-80,6.78811307771268e-108,5.30573574793245e-101,3.10937980434856e-94
"140",1.84503059677181e-79,5.23368119116256e-107,1.13560508733893e-100,6.92603390124272e-94
"141",1.69864348498267e-79,3.51939875657978e-107,7.36203805454937e-101,7.54619551086837e-94
"142",1.75598991487974e-79,2.65152272895487e-107,4.81698102819807e-101,5.5113729270935e-94
"143",1.89752841224704e-79,4.31497146678224e-107,3.35972202917184e-101,1.02843018014129e-93
"144",1.97181679660012e-79,5.62393699206542e-107,3.86631171727175e-101,9.66633551415083e-94
"145",1.79503707602586e-78,1.24719856234922e-106,4.37471993340523e-101,1.30909367059882e-93
"146",1.30421435830716e-78,1.09752010505733e-106,4.28424330218572e-101,1.26128685724255e-93
"147",2.47750927833089e-79,2.27574254795508e-107,1.12726625585289e-101,8.98367456526372e-94
"148",1.00335043391771e-79,1.08330887908032e-105,3.08625080608142e-100,1.74922912827847e-91
"149",2.24952403096245e-80,3.89943919877011e-106,7.66102073150787e-100,1.85317305379241e-91
"150",3.57055602984122e-80,5.0543776542175e-106,7.66946641663587e-100,7.13148814595066e-91
"151",3.03279059032416e-80,1.35816088825646e-106,8.56649604461116e-100,2.43505552147645e-91
"152",7.7624827641591e-80,4.83436366598461e-106,1.80155078849596e-100,6.05795847685646e-91
"153",5.13861357311788e-80,1.34944416177206e-106,1.01228990397709e-100,7.70164745546784e-91
"154",3.15521812734896e-80,4.32625760747396e-107,5.03292684222467e-101,3.36353344846045e-91
"155",6.60447758148761e-84,8.53823985550217e-109,2.02454626916329e-102,4.65213337831523e-92
"156",1.08009999729381e-84,1.47490805138789e-108,5.61753959773006e-102,2.96325893259488e-92
"157",3.65669985527074e-85,7.38718265364598e-110,1.12088331327066e-102,1.15876435957667e-92
"158",2.20585079324331e-85,2.48696925882412e-110,9.67856449117111e-103,7.3842665379278e-93
"159",6.01322187358423e-86,2.404498767092e-110,1.41957058137471e-102,7.29739263793471e-93
"160",5.40335402353194e-86,2.51585588623164e-110,1.25729492473224e-102,3.68863076795369e-93
"161",2.17092853832499e-85,1.75898321707109e-110,1.71041637259018e-102,1.48817498381521e-93
"162",1.62050582124852e-85,2.57016307370702e-110,1.92105550868737e-102,7.93554038312109e-94
"163",1.24755092338602e-85,1.59702773962897e-109,1.27419984724172e-102,4.20484664039008e-92
"164",4.75489658826834e-85,7.90394888705031e-110,3.37620799832585e-102,1.0239753810579e-91
"165",3.18658328956978e-85,1.07023766035655e-109,2.2213224334697e-102,9.01312742437081e-92
"166",1.04348740819476e-85,3.29329069977788e-110,6.82751700616625e-103,2.86657272218838e-92
"167",5.24798693270592e-86,3.13130275762174e-110,5.81080091560092e-103,2.85366538321932e-92
"168",4.36780572115473e-86,4.42332562957139e-110,8.09476488138139e-103,4.19931688983008e-92
"169",2.45721859533861e-86,6.4909624024672e-110,1.82761368394195e-102,7.62099235097041e-92
"170",2.29594250426925e-87,5.00184877642694e-110,2.42473455844797e-102,2.22965414795419e-91
"171",1.73246098817064e-87,4.05412400342667e-110,3.37298372893373e-102,2.0386233366129e-91
"172",1.03456653068414e-87,4.74838051949119e-110,2.17472170160589e-102,5.41857548240578e-92
"173",8.00128710008526e-88,6.80192145659534e-110,1.95340751804028e-102,7.20060225172887e-92
"174",5.00659562772102e-88,1.5745561365948e-109,1.61064501260126e-102,9.95691555786643e-93
"175",7.9414001851568e-89,2.87136774814677e-109,6.55442950660429e-102,2.24697918961393e-92
"176",8.26071472447848e-89,2.62631180761447e-109,5.14354440044205e-102,2.58281051663918e-92
"177",5.5314666881306e-89,1.92786557508844e-109,4.47729350717271e-102,2.70927659856127e-92
"178",2.17654414114127e-89,2.55920115415732e-109,3.17945343463169e-102,1.79168012675089e-92
"179",1.93376179250825e-89,2.66905882195384e-109,3.21254885768348e-102,1.54638362989112e-92
"180",1.21292738097144e-89,1.18435132794499e-109,1.76105655949062e-102,3.25551361550596e-93
"181",6.11525216962237e-90,2.58823897003865e-109,2.97394368850373e-102,5.96188466047677e-93
"182",1.00758185954837e-89,2.45897602941653e-109,2.59686942949075e-102,5.65100174023298e-93
"183",8.25661567702676e-90,4.77907495058379e-109,9.62635371407626e-102,2.28111407069094e-92
"184",7.27067361045586e-90,4.91242821576874e-109,9.60645429343266e-102,2.72499124637596e-92
"185",8.38435400052779e-90,6.41808950165984e-109,4.82809914795414e-102,1.67447274250866e-92
"186",1.29095920384936e-89,8.93623448484963e-109,5.19780549650979e-102,1.54128671877508e-92
"187",4.6136320787883e-90,6.29373259726504e-109,7.77683762976645e-102,1.80080245324995e-92
"188",1.08395442751193e-89,1.58303306013586e-108,1.94320604990175e-101,5.94076704958296e-92
"189",1.86273247856167e-89,2.07664497566949e-108,1.70084929195055e-100,8.42522301034936e-92
"190",2.02796007931166e-90,1.04872080638982e-108,1.9234717090006e-100,3.05242615800889e-92
"191",1.58395580571199e-90,2.46831696872125e-109,3.42219997961771e-100,5.99610173791942e-92
"192",3.16060544083255e-92,2.59469623012356e-110,6.55294024383607e-101,2.74208566957518e-92
"193",1.55208148777225e-92,1.27526945477166e-110,7.58682997656026e-101,1.83000113965423e-92
"194",1.75503479937795e-92,2.64211318565426e-110,7.40230647720142e-101,2.06740570928178e-92
"195",3.93756557288051e-93,7.27298078177386e-110,2.60557403623628e-101,7.20183960431018e-93
"196",3.5299531074508e-93,7.26602614307763e-110,3.36596635973978e-101,5.66588408873893e-93
"197",2.5627656637459e-93,1.76433713673956e-109,2.67690770025335e-101,3.75380551386055e-93
